[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/admin/migrations/__init__.py first seen with mtime 1673344757.596785
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/selectors.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/unittest/main.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/wsgiref/util.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/importlib/machinery.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/sqlparse/keywords.py first seen with mtime 1673344757.148718
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/email/contentmanager.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/codecs.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/asyncio/threads.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/template/response.py first seen with mtime 1673344758.0608544
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/oxml/xmlchemy.py first seen with mtime 1673349323.9913657
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/core/validators.py first seen with mtime 1673344758.004846
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/token.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/core/cache/utils.py first seen with mtime 1673344758.004846
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/sqlparse/filters/others.py first seen with mtime 1673344757.148718
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/asyncio/unix_events.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/core/checks/registry.py first seen with mtime 1673344758.0088465
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/asyncio/subprocess.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/core/checks/security/csrf.py first seen with mtime 1673344758.0088465
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/sqlparse/lexer.py first seen with mtime 1673344757.148718
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/email/mime/nonmultipart.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/dispatch/__init__.py first seen with mtime 1673344758.0408514
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/opc/coreprops.py first seen with mtime 1673349323.9833815
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/cryptography/hazmat/primitives/kdf/scrypt.py first seen with mtime 1673349397.635235
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/dates.py first seen with mtime 1673344758.064855
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/glob.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/image/exceptions.py first seen with mtime 1673349323.9793892
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/pickle.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/auth/middleware.py first seen with mtime 1673344757.6647952
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/lib-dynload/termios.cpython-39-x86_64-linux-gnu.so first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/gzip.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/email/mime/base.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/_cffi_backend.cpython-39-x86_64-linux-gnu.so first seen with mtime 1673349397.4514112
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/auth/checks.py first seen with mtime 1673344757.6607945
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/blkcntnr.py first seen with mtime 1673349323.9634204
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/docx/parts/numbering.py first seen with mtime 1673349323.995358
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/views/csrf.py first seen with mtime 1673344758.0728562
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/MySQLdb/converters.py first seen with mtime 1673348430.6974456
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/backends/mysql/base.py first seen with mtime 1673344758.0208485
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/backends/__init__.py first seen with mtime 1673344758.0208485
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/encodings/latin_1.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/json/scanner.py first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /usr/lib/python3.9/lib-dynload/_asyncio.cpython-39-x86_64-linux-gnu.so first seen with mtime 1670375518.0
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/cache.py first seen with mtime 1673344758.064855
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1673344758.004846
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/backends/utils.py first seen with mtime 1673344758.0208485
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/utils/timesince.py first seen with mtime 1673344758.0688555
[16/Jan/2023 10:10:36] DEBUG [django.utils.autoreload:385] File /home/user/Documents/MCA/4thSemMCA/MainProject/code/Code/virtual/lib/python3.9/site-packages/django/db/migrations/recorder.py first seen with mtime 1673344758.0328503
